geomaterial_id,mineral_IMA
1440,Fairbanksite
1441,Fairburn Agate
1442,Fairchildite
1443,Fairfieldite
1444,Falcondoite
1445,Falkenstenite
1446,Falkmanite
1451,Famatinite
1452,Fangite
1453,Faratsihite
1456,Farringtonite
1458,Fayalite
1459,Axinite-(Fe)
1461,Ferro-ferri-barroisite
1463,Clinofergusonite-(Y)
1464,Ferro-anthophyllite
1465,Ferro-eckermannite
1466,Clinofergusonite-(Nd)
1467,Fedorite
1468,Fedorovskite
1469,Fedotovite
1471,Ferro-ferri-winchite
1472,Ferro-edenite
1473,Feitknechtite
1474,Felsobanyaite
1475,Fenaksite
1476,Ferberite
1477,Ferchromide
1478,Fergusonite-(Ce)
1479,Fergusonite-(Nd)
1480,Fergusonite-(Y)
1481,Clinofergusonite-(Ce)
1482,Johnbaumite-M
1483,Fernandinite
1484,Feroxyhyte
1485,Ferrarisite
1487,Ferri-barroisite
1488,Ferro-ferri-taramite
1489,Ferri-winchite (of Leake 1978)
1490,Ferricopiapite
1492,Ferrierite Subgroup
1493,Ferrihydrite
1494,Ferro-ferri-katophorite
1495,Ferrilotharmeyerite
1496,Ferrimolybdite
1497,Ferrinatrite
1498,Ferripyrophyllite
1499,Ferrisicklerite
1500,Ferristrunzite
1501,Ferrisurite
1502,Ferrisymplesite
1503,Ferri-tschermakite
1504,Ferritungstite
1505,Ferro-actinolite
1506,Ferro-åkermanite
1507,Ferroalluaudite
1509,Iron-Platinum alloy
1510,Ferro-barroisite
1511,Ferrobustamite
1512,Ferrocarpholite
1513,Clino-holmquistite Root Name Group
1514,Columbite-(Fe)
1515,Ferro-gedrite
1516,Ferro-glaucophane
1517,Ferrohexahydrite
1519,Ferro-hornblende
1520,Ferrohortonolite
1521,Ferro-kaersutite
1522,Ferrokesterite
1523,Ferronickelplatinum
1524,Ferro-pargasite
1525,Pyrosmalite-(Fe)
1526,Ferro-richterite
1527,Ferroselite
1528,Ferrosilite
1529,Ferrostrunzite
1530,Tantalite-(Fe)
1531,Tapiolite-(Fe)
1532,Ferro-tschermakite
1533,Ferrotychite
1534,Ferro-winchite
1535,Ferrowodginite
1536,Ferrowyllieite
1537,Ferruccite
1538,Fersmanite
1539,Fersmite
1540,Feruvite
1541,Fervanite
1542,Fetiasite
1543,Fettelite
1544,Fibroferrite
1545,Fichtelite
1547,Fiedlerite
1548,Filipstadite
1549,Fillowite
1550,Fingerite
1551,Finnemanite
1552,Fischesserite
1554,Fizelyite
1555,Flagstaffite
1556,Fleischerite
1557,Fletcherite
1558,Flinkite
